,coef,se,values,dvs,datasets,type
64,-0.00270424545926691,0.304571509838211,val3_selfdir_actions_yhat,did_favorite>0,full_data,colin
65,0.52537472247982,0.252402369818826,val3_stimulation_yhat,did_favorite>0,full_data,colin
66,-0.291088998788205,0.202402236472414,val3_personal_sec_yhat,did_favorite>0,full_data,colin
67,0.0273319261619299,0.267425345203382,val3_socsec_yhat,did_favorite>0,full_data,colin
68,0.0489710434599009,0.175022455907022,val3_tradition_yhat,did_favorite>0,full_data,colin
69,-0.0140344576267846,0.233548344048348,val3_rule_conformity_yhat,did_favorite>0,full_data,colin
70,0.160401055097524,0.271997375398859,val3_interpersonal_conformity_yhat,did_favorite>0,full_data,colin
71,0.385586352700502,0.15686964202947,val3_humility_yhat,did_favorite>0,full_data,colin
72,0.136355819159562,0.242996723581966,val3_dependability_yhat,did_favorite>0,full_data,colin
73,0.174615387561517,0.201528976111052,val3_caring_yhat,did_favorite>0,full_data,colin
74,0.0187036588326808,0.209294947077434,val3_univ_concern_yhat,did_favorite>0,full_data,colin
75,-0.36559359799591,0.105237416570695,val3_nature_yhat,did_favorite>0,full_data,colin
76,-0.208073538195673,0.219232012690062,val3_tolerance_yhat,did_favorite>0,full_data,colin
77,0.00101010266863648,NA,val3_dominance_yhat,did_retweet>0,full_data,pca
78,-0.00440905198763191,NA,val3_resources_yhat,did_retweet>0,full_data,pca
79,-0.0183887291510104,NA,val3_achievement_yhat,did_retweet>0,full_data,pca
80,0.00621578941555065,NA,val3_hedonism_yhat,did_retweet>0,full_data,pca
81,0.048086359607587,NA,val3_selfdir_thoughts_yhat,did_retweet>0,full_data,pca
82,0.0498791820493642,NA,val3_selfdir_actions_yhat,did_retweet>0,full_data,pca
83,0.0339730359112001,NA,val3_stimulation_yhat,did_retweet>0,full_data,pca
84,0.0174268652979298,NA,val3_personal_sec_yhat,did_retweet>0,full_data,pca
85,0.0341006953573927,NA,val3_socsec_yhat,did_retweet>0,full_data,pca
86,0.0253673265152494,NA,val3_tradition_yhat,did_retweet>0,full_data,pca
87,0.0289213327670912,NA,val3_rule_conformity_yhat,did_retweet>0,full_data,pca
88,0.0306450179732778,NA,val3_interpersonal_conformity_yhat,did_retweet>0,full_data,pca
89,0.0963175475552755,NA,val3_humility_yhat,did_retweet>0,full_data,pca
90,0.111079074329679,NA,val3_dependability_yhat,did_retweet>0,full_data,pca
91,0.11803016545396,NA,val3_caring_yhat,did_retweet>0,full_data,pca
92,0.115161719235219,NA,val3_univ_concern_yhat,did_retweet>0,full_data,pca
93,0.0910697413715437,NA,val3_nature_yhat,did_retweet>0,full_data,pca
94,0.0994725244077359,NA,val3_tolerance_yhat,did_retweet>0,full_data,pca
95,-0.0133715469745883,NA,val3_face_yhat,did_retweet>0,full_data,pca
96,1.04944406452273,0.543518346733797,val3_face_yhat,did_retweet>0,full_data,colin
97,1.88303425580403,0.928275581788503,val3_dominance_yhat,did_retweet>0,full_data,colin
98,-2.09358764372036,1.03201552524127,val3_resources_yhat,did_retweet>0,full_data,colin
99,-0.529790697868921,0.666137713519731,val3_achievement_yhat,did_retweet>0,full_data,colin
100,0.59181497068044,0.447218022493523,val3_hedonism_yhat,did_retweet>0,full_data,colin
101,0.257255155210665,0.89568538278479,val3_selfdir_thoughts_yhat,did_retweet>0,full_data,colin
102,-0.186481466234535,0.907996234143302,val3_selfdir_actions_yhat,did_retweet>0,full_data,colin
103,0.0372107764022683,0.752147709861536,val3_stimulation_yhat,did_retweet>0,full_data,colin
104,-0.694385318057058,0.567225111473403,val3_personal_sec_yhat,did_retweet>0,full_data,colin
105,2.07457192429814,0.723749772388399,val3_socsec_yhat,did_retweet>0,full_data,colin
